t psi theta phi
1.330665 -0.788064 1.386787 19.180115
1.340670 -0.799030 1.385726 19.319410
1.350675 -0.810034 1.384664 19.458671
1.360680 -0.821074 1.383601 19.597898
1.370685 -0.832150 1.382536 19.737091
1.380690 -0.843261 1.381470 19.876252
1.390695 -0.854408 1.380403 20.015381
1.400700 -0.865589 1.379335 20.154479
1.410705 -0.876804 1.378266 20.293545
1.420710 -0.888052 1.377196 20.432581
1.430715 -0.899333 1.376125 20.571587
1.440720 -0.910647 1.375053 20.710563
1.450725 -0.921993 1.373980 20.849510
1.460730 -0.933370 1.372906 20.988429
1.470735 -0.944778 1.371831 21.127320
1.480740 -0.956217 1.370755 21.266183
1.490745 -0.967686 1.369679 21.405019
1.500750 -0.979185 1.368602 21.543828
1.510755 -0.990714 1.367524 21.682611
1.520760 -1.002271 1.366445 21.821368
1.530765 -1.013857 1.365366 21.960100
1.540770 -1.025471 1.364286 22.098806
1.550775 -1.037112 1.363206 22.237489
1.560780 -1.048781 1.362125 22.376146
1.570785 -1.060477 1.361044 22.514781
1.580790 -1.072200 1.359962 22.653391
1.590795 -1.083949 1.358879 22.791979
1.600800 -1.095723 1.357796 22.930544
1.610805 -1.107524 1.356713 23.069087
1.620810 -1.119349 1.355630 23.207608
1.630815 -1.131199 1.354546 23.346108
1.640820 -1.143074 1.353462 23.484586
1.650825 -1.154973 1.352377 23.623043
1.660830 -1.166896 1.351293 23.761480
1.670835 -1.178843 1.350208 23.899897
1.680840 -1.190813 1.349123 24.038293
1.690845 -1.202805 1.348038 24.176671
1.700850 -1.214821 1.346953 24.315029
1.710855 -1.226859 1.345867 24.453368
1.720860 -1.238919 1.344782 24.591688
1.730865 -1.251000 1.343697 24.729990
1.740870 -1.263103 1.342611 24.868275
1.750875 -1.275228 1.341526 25.006541
1.760880 -1.287373 1.340441 25.144790
1.770885 -1.299539 1.339356 25.283022
1.780890 -1.311726 1.338271 25.421237
1.790895 -1.323933 1.337186 25.559435
1.800900 -1.336160 1.336101 25.697617
1.810905 -1.348406 1.335017 25.835783
1.820910 -1.360672 1.333932 25.973933
