t psi theta phi
0.665333 -0.351676 1.031251 13.003243
0.670335 -0.354615 1.031103 13.100772
0.675338 -0.357559 1.030955 13.198297
0.680340 -0.360507 1.030809 13.295819
0.685343 -0.363459 1.030664 13.393337
0.690345 -0.366415 1.030521 13.490852
0.695348 -0.369375 1.030378 13.588363
0.700350 -0.372339 1.030238 13.685871
0.705353 -0.375308 1.030098 13.783376
0.710355 -0.378280 1.029960 13.880878
0.715358 -0.381257 1.029823 13.978376
0.720360 -0.384237 1.029688 14.075872
0.725363 -0.387222 1.029555 14.173364
0.730365 -0.390210 1.029423 14.270853
0.735368 -0.393202 1.029292 14.368339
0.740370 -0.396197 1.029163 14.465822
0.745373 -0.399197 1.029036 14.563302
0.750375 -0.402200 1.028910 14.660779
0.755378 -0.405206 1.028787 14.758253
0.760380 -0.408216 1.028664 14.855725
0.765383 -0.411230 1.028544 14.953193
0.770385 -0.414247 1.028425 15.050659
0.775388 -0.417268 1.028309 15.148123
0.780390 -0.420291 1.028194 15.245583
0.785393 -0.423318 1.028081 15.343041
0.790395 -0.426349 1.027969 15.440496
0.795398 -0.429382 1.027860 15.537949
0.800400 -0.432419 1.027753 15.635399
0.805403 -0.435458 1.027647 15.732847
0.810405 -0.438501 1.027544 15.830292
0.815408 -0.441546 1.027442 15.927735
0.820410 -0.444595 1.027343 16.025176
0.825413 -0.447646 1.027246 16.122615
0.830415 -0.450700 1.027150 16.220051
0.835418 -0.453757 1.027057 16.317485
0.840420 -0.456816 1.026966 16.414917
0.845423 -0.459878 1.026877 16.512347
0.850425 -0.462942 1.026790 16.609775
0.855428 -0.466009 1.026706 16.707201
0.860430 -0.469078 1.026623 16.804625
0.865433 -0.472150 1.026543 16.902047
0.870435 -0.475223 1.026465 16.999468
0.875438 -0.478299 1.026389 17.096887
0.880440 -0.481377 1.026316 17.194304
0.885443 -0.484457 1.026245 17.291719
0.890445 -0.487540 1.026176 17.389133
0.895448 -0.490624 1.026109 17.486545
0.900450 -0.493709 1.026045 17.583956
0.905453 -0.496797 1.025983 17.681365
0.910455 -0.499887 1.025924 17.778773
0.915458 -0.502978 1.025867 17.876180
0.920460 -0.506070 1.025812 17.973585
0.925463 -0.509165 1.025759 18.070989
0.930465 -0.512260 1.025709 18.168392
0.935468 -0.515357 1.025662 18.265794
0.940470 -0.518456 1.025617 18.363195
0.945473 -0.521555 1.025574 18.460595
0.950475 -0.524656 1.025534 18.557993
0.955478 -0.527758 1.025496 18.655391
0.960480 -0.530861 1.025461 18.752789
0.965483 -0.533965 1.025428 18.850185
0.970485 -0.537069 1.025397 18.947581
0.975488 -0.540175 1.025369 19.044976
0.980490 -0.543281 1.025344 19.142370
0.985493 -0.546388 1.025321 19.239764
0.990495 -0.549496 1.025301 19.337157
0.995498 -0.552604 1.025283 19.434550
1.000500 -0.555713 1.025267 19.531943
1.005503 -0.558822 1.025255 19.629335
1.010505 -0.561931 1.025244 19.726727
1.015508 -0.565041 1.025236 19.824119
1.020510 -0.568151 1.025231 19.921511
1.025513 -0.571261 1.025228 20.018902
1.030515 -0.574371 1.025228 20.116294
1.035518 -0.577481 1.025230 20.213685
1.040520 -0.580591 1.025235 20.311077
1.045523 -0.583700 1.025242 20.408469
1.050525 -0.586810 1.025252 20.505861
1.055528 -0.589919 1.025265 20.603253
1.060530 -0.593028 1.025279 20.700645
1.065533 -0.596136 1.025297 20.798038
1.070535 -0.599244 1.025317 20.895431
1.075538 -0.602351 1.025339 20.992825
1.080540 -0.605457 1.025364 21.090219
1.085543 -0.608563 1.025391 21.187614
1.090545 -0.611668 1.025421 21.285010
1.095548 -0.614772 1.025453 21.382406
1.100550 -0.617875 1.025488 21.479803
1.105553 -0.620977 1.025526 21.577201
1.110555 -0.624078 1.025565 21.674600
1.115558 -0.627178 1.025608 21.771999
1.120560 -0.630277 1.025652 21.869400
1.125563 -0.633374 1.025699 21.966801
1.130565 -0.636470 1.025749 22.064204
1.135568 -0.639565 1.025801 22.161608
1.140570 -0.642658 1.025855 22.259013
1.145573 -0.645749 1.025912 22.356420
1.150575 -0.648839 1.025971 22.453827
1.155578 -0.651927 1.026032 22.551236
1.160580 -0.655013 1.026096 22.648647
1.165583 -0.658098 1.026162 22.746059
1.170585 -0.661180 1.026230 22.843472
1.175588 -0.664261 1.026301 22.940887
1.180590 -0.667339 1.026374 23.038304
1.185593 -0.670416 1.026449 23.135722
1.190595 -0.673490 1.026527 23.233142
1.195598 -0.676562 1.026606 23.330564
1.200600 -0.679631 1.026688 23.427988
1.205603 -0.682699 1.026772 23.525413
1.210605 -0.685764 1.026859 23.622841
1.215608 -0.688826 1.026947 23.720270
1.220610 -0.691886 1.027038 23.817702
1.225613 -0.694943 1.027130 23.915136
1.230615 -0.697998 1.027225 24.012572
1.235618 -0.701049 1.027322 24.110010
1.240620 -0.704098 1.027421 24.207450
1.245623 -0.707144 1.027522 24.304892
1.250625 -0.710188 1.027625 24.402337
1.255628 -0.713228 1.027730 24.499785
1.260630 -0.716265 1.027837 24.597234
1.265633 -0.719299 1.027946 24.694687
1.270635 -0.722330 1.028057 24.792141
1.275638 -0.725358 1.028170 24.889599
1.280640 -0.728382 1.028284 24.987059
1.285643 -0.731404 1.028401 25.084521
1.290645 -0.734421 1.028519 25.181986
1.295648 -0.737436 1.028639 25.279454
1.300650 -0.740447 1.028761 25.376925
1.305653 -0.743454 1.028884 25.474399
1.310655 -0.746458 1.029009 25.571875
1.315658 -0.749458 1.029136 25.669355
1.320660 -0.752454 1.029265 25.766837
1.325663 -0.755447 1.029395 25.864323
1.330665 -0.758436 1.029527 25.961811
1.335668 -0.761421 1.029660 26.059303
1.340670 -0.764402 1.029795 26.156797
1.345673 -0.767380 1.029931 26.254295
1.350675 -0.770353 1.030069 26.351796
1.355678 -0.773322 1.030208 26.449300
1.360680 -0.776288 1.030349 26.546808
1.365683 -0.779249 1.030491 26.644319
1.370685 -0.782206 1.030634 26.741833
1.375688 -0.785159 1.030779 26.839350
1.380690 -0.788107 1.030925 26.936871
1.385693 -0.791052 1.031072 27.034396
1.390695 -0.793992 1.031220 27.131923
1.395698 -0.796927 1.031370 27.229455
1.400700 -0.799859 1.031520 27.326989
1.405703 -0.802786 1.031672 27.424528
1.410705 -0.805708 1.031825 27.522070
1.415708 -0.808626 1.031979 27.619615
1.420710 -0.811540 1.032134 27.717165
1.425713 -0.814448 1.032289 27.814717
1.430715 -0.817353 1.032446 27.912274
1.435718 -0.820253 1.032604 28.009834
1.440720 -0.823148 1.032762 28.107398
1.445723 -0.826038 1.032922 28.204966
1.450725 -0.828924 1.033082 28.302538
1.455728 -0.831805 1.033243 28.400113
1.460730 -0.834681 1.033404 28.497693
1.465733 -0.837553 1.033567 28.595276
1.470735 -0.840419 1.033729 28.692863
1.475738 -0.843281 1.033893 28.790454
1.480740 -0.846138 1.034057 28.888049
1.485743 -0.848991 1.034222 28.985647
1.490745 -0.851838 1.034387 29.083250
1.495748 -0.854681 1.034552 29.180857
1.500750 -0.857518 1.034718 29.278467
1.505753 -0.860351 1.034884 29.376082
1.510755 -0.863178 1.035051 29.473701
1.515758 -0.866001 1.035218 29.571323
1.520760 -0.868819 1.035385 29.668950
1.525763 -0.871632 1.035552 29.766581
1.530765 -0.874440 1.035720 29.864215
1.535768 -0.877243 1.035887 29.961854
1.540770 -0.880040 1.036055 30.059497
1.545773 -0.882833 1.036223 30.157144
1.550775 -0.885621 1.036391 30.254795
1.555778 -0.888404 1.036559 30.352450
1.560780 -0.891182 1.036726 30.450109
1.565783 -0.893955 1.036894 30.547772
1.570785 -0.896722 1.037062 30.645440
1.575788 -0.899485 1.037229 30.743111
1.580790 -0.902243 1.037396 30.840787
1.585793 -0.904996 1.037563 30.938466
1.590795 -0.907743 1.037730 31.036150
1.595798 -0.910486 1.037896 31.133838
1.600800 -0.913224 1.038062 31.231529
1.605803 -0.915956 1.038227 31.329225
1.610805 -0.918684 1.038392 31.426925
1.615808 -0.921407 1.038557 31.524629
1.620810 -0.924125 1.038721 31.622337
1.625813 -0.926838 1.038884 31.720049
1.630815 -0.929546 1.039047 31.817766
1.635818 -0.932249 1.039209 31.915486
1.640820 -0.934947 1.039370 32.013210
1.645823 -0.937640 1.039531 32.110938
1.650825 -0.940328 1.039691 32.208670
1.655828 -0.943012 1.039850 32.306406
1.660830 -0.945691 1.040009 32.404146
1.665833 -0.948364 1.040166 32.501890
1.670835 -0.951034 1.040323 32.599638
1.675838 -0.953698 1.040478 32.697390
1.680840 -0.956358 1.040633 32.795145
1.685843 -0.959012 1.040787 32.892905
1.690845 -0.961663 1.040939 32.990668
1.695848 -0.964308 1.041091 33.088435
1.700850 -0.966949 1.041241 33.186206
1.705853 -0.969586 1.041390 33.283980
1.710855 -0.972218 1.041538 33.381759
1.715858 -0.974845 1.041685 33.479541
1.720860 -0.977468 1.041831 33.577326
1.725863 -0.980086 1.041975 33.675116
1.730865 -0.982700 1.042118 33.772909
1.735868 -0.985310 1.042259 33.870705
1.740870 -0.987915 1.042399 33.968505
1.745873 -0.990516 1.042538 34.066309
1.750875 -0.993113 1.042675 34.164116
1.755878 -0.995706 1.042810 34.261927
1.760880 -0.998294 1.042945 34.359741
1.765883 -1.000878 1.043077 34.457558
1.770885 -1.003459 1.043208 34.555379
1.775888 -1.006035 1.043337 34.653203
1.780890 -1.008607 1.043465 34.751030
1.785893 -1.011175 1.043591 34.848861
1.790895 -1.013740 1.043715 34.946694
1.795898 -1.016301 1.043837 35.044531
1.800900 -1.018857 1.043958 35.142371
1.805903 -1.021411 1.044077 35.240214
1.810905 -1.023960 1.044194 35.338060
1.815908 -1.026506 1.044309 35.435909
1.820910 -1.029048 1.044422 35.533761
1.825913 -1.031587 1.044533 35.631616
1.830915 -1.034123 1.044642 35.729473
1.835918 -1.036655 1.044750 35.827333
1.840920 -1.039184 1.044855 35.925197
1.845923 -1.041709 1.044958 36.023062
1.850925 -1.044231 1.045059 36.120931
1.855928 -1.046751 1.045158 36.218802
1.860930 -1.049267 1.045255 36.316675
