t psi theta phi
0.665333 -2.723694 1.033712 10.955580
0.670335 -2.743938 1.033624 11.038237
0.675338 -2.764179 1.033538 11.120897
0.680340 -2.784417 1.033454 11.203560
0.685343 -2.804654 1.033372 11.286226
0.690345 -2.824887 1.033293 11.368895
0.695348 -2.845119 1.033215 11.451567
0.700350 -2.865348 1.033139 11.534241
0.705353 -2.885576 1.033066 11.616918
0.710355 -2.905801 1.032994 11.699598
0.715358 -2.926024 1.032925 11.782280
0.720360 -2.946245 1.032858 11.864964
0.725363 -2.966464 1.032794 11.947651
0.730365 -2.986682 1.032731 12.030339
0.735368 -3.006898 1.032671 12.113031
0.740370 -3.027112 1.032614 12.195724
0.745373 -3.047324 1.032558 12.278419
0.750375 -3.067535 1.032505 12.361116
0.755378 -3.087744 1.032455 12.443814
0.760380 -3.107952 1.032406 12.526515
0.765383 -3.128159 1.032360 12.609217
0.770385 -3.148364 1.032317 12.691921
0.775388 -3.168568 1.032276 12.774626
0.780390 -3.188771 1.032237 12.857333
0.785393 -3.208973 1.032201 12.940041
0.790395 -3.229174 1.032167 13.022750
0.795398 -3.249374 1.032136 13.105460
0.800400 -3.269573 1.032108 13.188171
0.805403 -3.289772 1.032081 13.270884
0.810405 -3.309969 1.032058 13.353597
0.815408 -3.330166 1.032036 13.436311
0.820410 -3.350363 1.032018 13.519025
0.825413 -3.370558 1.032002 13.601740
0.830415 -3.390754 1.031988 13.684456
0.835418 -3.410949 1.031977 13.767172
0.840420 -3.431144 1.031968 13.849889
0.845423 -3.451339 1.031962 13.932606
0.850425 -3.471533 1.031959 14.015322
0.855428 -3.491728 1.031958 14.098039
0.860430 -3.511922 1.031960 14.180756
0.865433 -3.532117 1.031964 14.263473
0.870435 -3.552311 1.031970 14.346190
0.875438 -3.572506 1.031980 14.428906
0.880440 -3.592701 1.031991 14.511623
0.885443 -3.612897 1.032006 14.594338
0.890445 -3.633093 1.032023 14.677053
0.895448 -3.653290 1.032042 14.759768
0.900450 -3.673487 1.032064 14.842481
0.905453 -3.693685 1.032088 14.925194
0.910455 -3.713883 1.032115 15.007906
0.915458 -3.734082 1.032145 15.090617
0.920460 -3.754283 1.032177 15.173327
0.925463 -3.774484 1.032211 15.256036
0.930465 -3.794686 1.032248 15.338743
0.935468 -3.814889 1.032287 15.421450
0.940470 -3.835094 1.032329 15.504155
0.945473 -3.855299 1.032373 15.586858
0.950475 -3.875506 1.032420 15.669560
0.955478 -3.895715 1.032469 15.752260
