t psi theta phi
0.000000 0.000000 1.483530 0.000000
0.010005 -0.000001 1.483521 0.168167
0.020010 -0.000009 1.483496 0.336328
0.030015 -0.000030 1.483453 0.504475
0.040020 -0.000070 1.483393 0.672603
0.050025 -0.000137 1.483316 0.840704
0.060030 -0.000237 1.483223 1.008773
0.070035 -0.000375 1.483112 1.176803
0.080040 -0.000559 1.482985 1.344789
0.090045 -0.000794 1.482841 1.512723
0.100050 -0.001086 1.482681 1.680600
0.110055 -0.001442 1.482504 1.848414
0.120060 -0.001866 1.482311 2.016160
0.130065 -0.002365 1.482102 2.183831
0.140070 -0.002944 1.481878 2.351424
0.150075 -0.003607 1.481637 2.518932
0.160080 -0.004360 1.481382 2.686350
0.170085 -0.005207 1.481111 2.853675
0.180090 -0.006154 1.480825 3.020901
0.190095 -0.007204 1.480524 3.188024
0.200100 -0.008361 1.480209 3.355040
0.210105 -0.009629 1.479880 3.521946
0.220110 -0.011012 1.479537 3.688738
0.230115 -0.012513 1.479180 3.855412
0.240120 -0.014136 1.478809 4.021965
0.250125 -0.015883 1.478426 4.188395
0.260130 -0.017756 1.478030 4.354699
0.270135 -0.019759 1.477621 4.520873
0.280140 -0.021894 1.477200 4.686917
0.290145 -0.024162 1.476768 4.852829
0.300150 -0.026565 1.476323 5.018605
0.310155 -0.029106 1.475868 5.184246
0.320160 -0.031785 1.475401 5.349748
0.330165 -0.034603 1.474924 5.515112
0.340170 -0.037562 1.474437 5.680337
0.350175 -0.040662 1.473939 5.845421
0.360180 -0.043904 1.473432 6.010364
0.370185 -0.047288 1.472916 6.175166
0.380190 -0.050815 1.472390 6.339825
0.390195 -0.054485 1.471856 6.504343
0.400200 -0.058297 1.471314 6.668720
0.410205 -0.062252 1.470764 6.832954
0.420210 -0.066349 1.470206 6.997048
0.430215 -0.070587 1.469640 7.161000
0.440220 -0.074967 1.469067 7.324813
0.450225 -0.079488 1.468488 7.488486
0.460230 -0.084148 1.467902 7.652020
0.470235 -0.088947 1.467311 7.815416
0.480240 -0.093885 1.466713 7.978676
0.490245 -0.098958 1.466110 8.141800
0.500250 -0.104168 1.465501 8.304789
0.510255 -0.109512 1.464888 8.467645
0.520260 -0.114989 1.464270 8.630369
0.530265 -0.120598 1.463648 8.792962
0.540270 -0.126338 1.463022 8.955425
0.550275 -0.132206 1.462392 9.117761
0.560280 -0.138202 1.461759 9.279971
0.570285 -0.144324 1.461122 9.442055
0.580290 -0.150571 1.460483 9.604017
0.590295 -0.156940 1.459841 9.765857
0.600300 -0.163430 1.459196 9.927577
0.610305 -0.170040 1.458550 10.089179
0.620310 -0.176768 1.457902 10.250664
0.630315 -0.183611 1.457252 10.412034
0.640320 -0.190569 1.456601 10.573292
0.650325 -0.197640 1.455948 10.734437
0.660330 -0.204822 1.455295 10.895474
0.670335 -0.212113 1.454642 11.056402
0.680340 -0.219511 1.453988 11.217224
0.690345 -0.227015 1.453334 11.377942
0.700350 -0.234623 1.452680 11.538557
0.710355 -0.242333 1.452026 11.699071
0.720360 -0.250143 1.451373 11.859486
0.730365 -0.258053 1.450721 12.019803
0.740370 -0.266059 1.450070 12.180025
0.750375 -0.274161 1.449419 12.340153
0.760380 -0.282356 1.448771 12.500188
0.770385 -0.290643 1.448124 12.660133
0.780390 -0.299021 1.447479 12.819989
0.790395 -0.307487 1.446836 12.979758
0.800400 -0.316040 1.446195 13.139441
0.810405 -0.324678 1.445556 13.299040
0.820410 -0.333400 1.444920 13.458557
0.830415 -0.342204 1.444287 13.617993
0.840420 -0.351089 1.443657 13.777350
0.850425 -0.360053 1.443030 13.936629
0.860430 -0.369094 1.442406 14.095832
0.870435 -0.378211 1.441786 14.254961
0.880440 -0.387402 1.441170 14.414016
0.890445 -0.396667 1.440557 14.573000
0.900450 -0.406002 1.439948 14.731914
