t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.002000 -0.000000 1.047196 0.100010
0.004000 -0.000000 1.047190 0.200020
0.006001 -0.000001 1.047180 0.300029
0.008001 -0.000002 1.047166 0.400038
0.010001 -0.000003 1.047149 0.500047
0.012001 -0.000006 1.047127 0.600055
0.014001 -0.000009 1.047102 0.700062
0.016002 -0.000013 1.047072 0.800068
0.018002 -0.000019 1.047039 0.900073
0.020002 -0.000026 1.047002 1.000077
0.022002 -0.000035 1.046961 1.100080
0.024002 -0.000045 1.046916 1.200081
0.026003 -0.000057 1.046868 1.300080
0.028003 -0.000071 1.046815 1.400078
0.030003 -0.000088 1.046759 1.500073
0.032003 -0.000107 1.046699 1.600067
0.034003 -0.000128 1.046636 1.700059
0.036004 -0.000151 1.046568 1.800048
0.038004 -0.000178 1.046497 1.900035
0.040004 -0.000207 1.046423 2.000020
0.042004 -0.000240 1.046345 2.100002
0.044004 -0.000276 1.046263 2.199981
0.046005 -0.000315 1.046177 2.299957
0.048005 -0.000357 1.046088 2.399930
0.050005 -0.000403 1.045996 2.499900
0.052005 -0.000453 1.045900 2.599867
0.054005 -0.000507 1.045801 2.699831
0.056006 -0.000564 1.045698 2.799791
0.058006 -0.000626 1.045592 2.899747
0.060006 -0.000692 1.045483 2.999700
0.062006 -0.000763 1.045370 3.099649
0.064006 -0.000838 1.045254 3.199594
0.066007 -0.000918 1.045136 3.299535
0.068007 -0.001002 1.045013 3.399472
0.070007 -0.001091 1.044888 3.499405
0.072007 -0.001186 1.044760 3.599333
0.074007 -0.001285 1.044629 3.699257
0.076008 -0.001390 1.044495 3.799176
0.078008 -0.001500 1.044358 3.899091
0.080008 -0.001615 1.044218 3.999001
0.082008 -0.001736 1.044076 4.098907
0.084008 -0.001863 1.043931 4.198807
0.086009 -0.001996 1.043783 4.298703
0.088009 -0.002134 1.043632 4.398593
0.090009 -0.002278 1.043480 4.498478
0.092009 -0.002429 1.043324 4.598358
0.094009 -0.002585 1.043166 4.698233
0.096010 -0.002748 1.043006 4.798102
0.098010 -0.002917 1.042843 4.897966
0.100010 -0.003092 1.042679 4.997825
0.102010 -0.003274 1.042512 5.097678
0.104010 -0.003463 1.042343 5.197525
0.106011 -0.003658 1.042172 5.297366
0.108011 -0.003860 1.041999 5.397202
0.110011 -0.004068 1.041824 5.497032
0.112011 -0.004284 1.041647 5.596856
0.114011 -0.004506 1.041468 5.696674
0.116012 -0.004735 1.041288 5.796486
0.118012 -0.004972 1.041106 5.896292
0.120012 -0.005215 1.040923 5.996092
0.122012 -0.005466 1.040738 6.095886
0.124012 -0.005724 1.040551 6.195673
0.126013 -0.005989 1.040364 6.295455
0.128013 -0.006261 1.040175 6.395230
0.130013 -0.006540 1.039984 6.494999
0.132013 -0.006827 1.039793 6.594761
0.134013 -0.007122 1.039601 6.694518
0.136014 -0.007423 1.039407 6.794268
0.138014 -0.007733 1.039213 6.894011
0.140014 -0.008049 1.039018 6.993748
0.142014 -0.008373 1.038822 7.093479
0.144014 -0.008705 1.038625 7.193203
0.146015 -0.009044 1.038428 7.292920
0.148015 -0.009391 1.038230 7.392632
0.150015 -0.009746 1.038031 7.492336
0.152015 -0.010107 1.037833 7.592035
0.154015 -0.010477 1.037634 7.691726
0.156016 -0.010854 1.037434 7.791412
0.158016 -0.011239 1.037235 7.891090
0.160016 -0.011631 1.037035 7.990763
0.162016 -0.012031 1.036835 8.090428
0.164016 -0.012438 1.036636 8.190088
0.166017 -0.012853 1.036436 8.289741
0.168017 -0.013276 1.036237 8.389387
0.170017 -0.013706 1.036038 8.489027
0.172017 -0.014144 1.035839 8.588660
0.174017 -0.014589 1.035641 8.688287
0.176018 -0.015041 1.035443 8.787908
0.178018 -0.015501 1.035246 8.887523
0.180018 -0.015969 1.035049 8.987131
0.182018 -0.016444 1.034853 9.086732
0.184018 -0.016926 1.034658 9.186328
0.186019 -0.017415 1.034464 9.285917
0.188019 -0.017912 1.034271 9.385500
0.190019 -0.018416 1.034078 9.485077
0.192019 -0.018927 1.033887 9.584648
0.194019 -0.019445 1.033697 9.684213
0.196020 -0.019971 1.033508 9.783771
0.198020 -0.020503 1.033320 9.883324
0.200020 -0.021042 1.033134 9.982871
0.202020 -0.021588 1.032949 10.082412
0.204020 -0.022141 1.032766 10.181947
0.206021 -0.022701 1.032584 10.281476
0.208021 -0.023268 1.032403 10.381000
0.210021 -0.023841 1.032225 10.480517
0.212021 -0.024421 1.032048 10.580030
0.214021 -0.025007 1.031873 10.679536
0.216022 -0.025600 1.031700 10.779038
0.218022 -0.026199 1.031528 10.878534
0.220022 -0.026805 1.031359 10.978024
0.222022 -0.027417 1.031192 11.077509
0.224022 -0.028034 1.031027 11.176989
0.226023 -0.028658 1.030864 11.276464
0.228023 -0.029288 1.030703 11.375934
0.230023 -0.029924 1.030545 11.475399
0.232023 -0.030565 1.030389 11.574859
0.234023 -0.031212 1.030235 11.674314
0.236024 -0.031865 1.030084 11.773764
0.238024 -0.032523 1.029935 11.873210
0.240024 -0.033187 1.029789 11.972651
0.242024 -0.033856 1.029646 12.072088
0.244024 -0.034530 1.029505 12.171520
0.246025 -0.035209 1.029367 12.270948
0.248025 -0.035893 1.029232 12.370372
0.250025 -0.036582 1.029099 12.469791
0.252025 -0.037276 1.028970 12.569207
0.254025 -0.037975 1.028843 12.668618
0.256026 -0.038678 1.028719 12.768026
0.258026 -0.039386 1.028599 12.867430
0.260026 -0.040097 1.028481 12.966830
0.262026 -0.040814 1.028367 13.066227
0.264026 -0.041534 1.028255 13.165620
0.266027 -0.042258 1.028147 13.265010
0.268027 -0.042986 1.028042 13.364396
0.270027 -0.043718 1.027940 13.463780
0.272027 -0.044453 1.027842 13.563160
0.274027 -0.045192 1.027747 13.662537
0.276028 -0.045935 1.027655 13.761912
0.278028 -0.046681 1.027566 13.861284
0.280028 -0.047429 1.027482 13.960653
0.282028 -0.048181 1.027400 14.060019
0.284028 -0.048936 1.027322 14.159383
0.286029 -0.049693 1.027247 14.258745
0.288029 -0.050453 1.027176 14.358104
0.290029 -0.051216 1.027109 14.457462
0.292029 -0.051981 1.027045 14.556817
0.294029 -0.052748 1.026985 14.656171
0.296030 -0.053517 1.026928 14.755522
0.298030 -0.054289 1.026875 14.854872
0.300030 -0.055062 1.026826 14.954221
0.302030 -0.055837 1.026780 15.053568
0.304030 -0.056613 1.026739 15.152914
0.306031 -0.057391 1.026700 15.252258
0.308031 -0.058170 1.026666 15.351601
0.310031 -0.058951 1.026635 15.450944
0.312031 -0.059732 1.026608 15.550285
0.314031 -0.060514 1.026585 15.649626
0.316032 -0.061297 1.026565 15.748966
0.318032 -0.062081 1.026550 15.848306
0.320032 -0.062865 1.026538 15.947645
0.322032 -0.063650 1.026530 16.046984
0.324032 -0.064435 1.026526 16.146322
0.326033 -0.065219 1.026525 16.245661
0.328033 -0.066004 1.026528 16.344999
0.330033 -0.066789 1.026535 16.444338
0.332033 -0.067573 1.026546 16.543677
0.334033 -0.068357 1.026561 16.643017
0.336034 -0.069140 1.026579 16.742357
0.338034 -0.069923 1.026601 16.841697
0.340034 -0.070704 1.026627 16.941038
0.342034 -0.071485 1.026657 17.040381
0.344034 -0.072265 1.026691 17.139724
0.346035 -0.073043 1.026728 17.239068
0.348035 -0.073820 1.026769 17.338413
0.350035 -0.074595 1.026813 17.437760
0.352035 -0.075369 1.026862 17.537108
0.354035 -0.076140 1.026914 17.636458
0.356036 -0.076910 1.026969 17.735809
0.358036 -0.077678 1.027028 17.835162
0.360036 -0.078444 1.027091 17.934517
0.362036 -0.079207 1.027158 18.033873
0.364036 -0.079968 1.027228 18.133232
0.366037 -0.080726 1.027301 18.232594
0.368037 -0.081481 1.027378 18.331957
0.370037 -0.082234 1.027459 18.431323
0.372037 -0.082984 1.027543 18.530691
0.374037 -0.083730 1.027631 18.630062
0.376038 -0.084473 1.027721 18.729436
0.378038 -0.085213 1.027816 18.828812
0.380038 -0.085950 1.027913 18.928192
0.382038 -0.086683 1.028014 19.027574
0.384038 -0.087412 1.028118 19.126960
0.386039 -0.088137 1.028225 19.226349
0.388039 -0.088858 1.028336 19.325741
0.390039 -0.089576 1.028450 19.425137
0.392039 -0.090289 1.028566 19.524536
0.394039 -0.090997 1.028686 19.623939
0.396040 -0.091702 1.028809 19.723346
0.398040 -0.092402 1.028935 19.822756
0.400040 -0.093097 1.029064 19.922171
0.402040 -0.093787 1.029195 20.021589
0.404040 -0.094473 1.029330 20.121012
0.406041 -0.095153 1.029467 20.220438
0.408041 -0.095829 1.029607 20.319869
0.410041 -0.096499 1.029750 20.419305
0.412041 -0.097164 1.029895 20.518745
0.414041 -0.097824 1.030043 20.618189
0.416042 -0.098478 1.030194 20.717638
0.418042 -0.099127 1.030347 20.817092
0.420042 -0.099770 1.030502 20.916551
0.422042 -0.100407 1.030660 21.016014
0.424042 -0.101039 1.030820 21.115483
0.426043 -0.101664 1.030982 21.214956
0.428043 -0.102283 1.031147 21.314435
0.430043 -0.102897 1.031313 21.413919
0.432043 -0.103504 1.031482 21.513408
0.434043 -0.104105 1.031653 21.612902
0.436044 -0.104699 1.031825 21.712402
0.438044 -0.105287 1.032000 21.811907
0.440044 -0.105869 1.032176 21.911418
0.442044 -0.106444 1.032355 22.010934
0.444044 -0.107013 1.032534 22.110456
0.446045 -0.107574 1.032716 22.209984
0.448045 -0.108129 1.032899 22.309518
0.450045 -0.108677 1.033083 22.409057
0.452045 -0.109218 1.033269 22.508602
0.454045 -0.109753 1.033457 22.608153
0.456046 -0.110280 1.033645 22.707710
0.458046 -0.110800 1.033835 22.807273
0.460046 -0.111313 1.034026 22.906842
0.462046 -0.111819 1.034218 23.006418
0.464046 -0.112318 1.034411 23.105999
0.466047 -0.112809 1.034605 23.205587
0.468047 -0.113293 1.034800 23.305180
0.470047 -0.113770 1.034996 23.404780
0.472047 -0.114240 1.035192 23.504387
0.474047 -0.114702 1.035390 23.603999
0.476048 -0.115156 1.035587 23.703618
0.478048 -0.115603 1.035785 23.803244
0.480048 -0.116043 1.035984 23.902876
0.482048 -0.116475 1.036183 24.002514
0.484048 -0.116900 1.036382 24.102158
0.486049 -0.117317 1.036582 24.201809
0.488049 -0.117726 1.036781 24.301467
0.490049 -0.118128 1.036981 24.401131
0.492049 -0.118523 1.037180 24.500802
0.494049 -0.118909 1.037380 24.600478
0.496050 -0.119288 1.037579 24.700162
0.498050 -0.119660 1.037779 24.799852
0.500050 -0.120024 1.037977 24.899548
0.502050 -0.120381 1.038176 24.999251
0.504050 -0.120729 1.038374 25.098961
0.506051 -0.121071 1.038571 25.198677
0.508051 -0.121404 1.038768 25.298399
0.510051 -0.121731 1.038964 25.398128
0.512051 -0.122049 1.039160 25.497863
0.514051 -0.122361 1.039354 25.597605
0.516052 -0.122664 1.039548 25.697353
0.518052 -0.122961 1.039741 25.797108
0.520052 -0.123250 1.039933 25.896868
0.522052 -0.123531 1.040123 25.996636
0.524052 -0.123805 1.040313 26.096409
0.526053 -0.124072 1.040501 26.196189
0.528053 -0.124332 1.040687 26.295975
0.530053 -0.124585 1.040873 26.395767
0.532053 -0.124830 1.041057 26.495565
0.534053 -0.125068 1.041239 26.595369
0.536054 -0.125299 1.041420 26.695180
0.538054 -0.125524 1.041599 26.794996
0.540054 -0.125741 1.041776 26.894819
0.542054 -0.125951 1.041951 26.994647
0.544054 -0.126155 1.042125 27.094481
0.546055 -0.126352 1.042297 27.194321
0.548055 -0.126542 1.042466 27.294167
0.550055 -0.126726 1.042634 27.394018
0.552055 -0.126903 1.042799 27.493875
0.554055 -0.127074 1.042962 27.593737
0.556056 -0.127238 1.043123 27.693605
0.558056 -0.127397 1.043281 27.793479
0.560056 -0.127549 1.043438 27.893357
0.562056 -0.127695 1.043591 27.993241
0.564056 -0.127835 1.043742 28.093130
0.566057 -0.127969 1.043891 28.193024
0.568057 -0.128097 1.044037 28.292923
0.570057 -0.128219 1.044180 28.392827
0.572057 -0.128336 1.044320 28.492736
0.574057 -0.128448 1.044458 28.592650
