t psi theta phi
0.000000 0.000000 0.785398 0.000000
0.010005 -0.000001 0.785329 0.200098
0.020010 -0.000010 0.785121 0.400190
0.030015 -0.000035 0.784774 0.600271
0.040020 -0.000084 0.784289 0.800336
0.050025 -0.000163 0.783668 1.000378
0.060030 -0.000282 0.782909 1.200393
0.070035 -0.000446 0.782016 1.400376
0.080040 -0.000665 0.780989 1.600321
0.090045 -0.000945 0.779829 1.800223
0.100050 -0.001292 0.778538 2.000077
0.110055 -0.001715 0.777119 2.199879
0.120060 -0.002220 0.775572 2.399624
0.130065 -0.002814 0.773901 2.599308
0.140070 -0.003502 0.772108 2.798927
0.150075 -0.004291 0.770195 2.998476
0.160080 -0.005187 0.768164 3.197952
0.170085 -0.006195 0.766020 3.397352
0.180090 -0.007320 0.763764 3.596671
0.190095 -0.008569 0.761399 3.795908
0.200100 -0.009945 0.758930 3.995059
0.210105 -0.011453 0.756359 4.194122
0.220110 -0.013098 0.753690 4.393095
0.230115 -0.014883 0.750926 4.591974
0.240120 -0.016812 0.748071 4.790760
0.250125 -0.018888 0.745129 4.989449
0.260130 -0.021115 0.742104 5.188041
0.270135 -0.023496 0.738999 5.386535
0.280140 -0.026033 0.735818 5.584929
0.290145 -0.028728 0.732567 5.783223
0.300150 -0.031583 0.729248 5.981417
0.310155 -0.034601 0.725866 6.179509
0.320160 -0.037783 0.722425 6.377502
0.330165 -0.041129 0.718929 6.575393
0.340170 -0.044642 0.715383 6.773184
0.350175 -0.048322 0.711791 6.970876
0.360180 -0.052169 0.708157 7.168468
0.370185 -0.056184 0.704487 7.365963
0.380190 -0.060367 0.700783 7.563360
0.390195 -0.064718 0.697050 7.760660
0.400200 -0.069237 0.693294 7.957866
0.410205 -0.073923 0.689517 8.154979
0.420210 -0.078775 0.685725 8.351999
0.430215 -0.083793 0.681922 8.548929
0.440220 -0.088976 0.678113 8.745771
0.450225 -0.094322 0.674301 8.942525
0.460230 -0.099831 0.670491 9.139195
0.470235 -0.105500 0.666687 9.335781
0.480240 -0.111328 0.662893 9.532286
0.490245 -0.117314 0.659114 9.728712
0.500250 -0.123455 0.655354 9.925060
0.510255 -0.129750 0.651616 10.121334
0.520260 -0.136195 0.647906 10.317535
0.530265 -0.142790 0.644227 10.513665
0.540270 -0.149532 0.640582 10.709727
0.550275 -0.156417 0.636977 10.905722
0.560280 -0.163444 0.633414 11.101653
0.570285 -0.170610 0.629898 11.297522
0.580290 -0.177912 0.626433 11.493332
0.590295 -0.185347 0.623021 11.689084
0.600300 -0.192913 0.619667 11.884780
0.610305 -0.200606 0.616374 12.080423
0.620310 -0.208422 0.613146 12.276015
0.630315 -0.216360 0.609985 12.471559
0.640320 -0.224415 0.606897 12.667055
0.650325 -0.232585 0.603882 12.862506
0.660330 -0.240866 0.600945 13.057915
0.670335 -0.249254 0.598089 13.253283
0.680340 -0.257746 0.595317 13.448611
0.690345 -0.266338 0.592631 13.643903
0.700350 -0.275027 0.590035 13.839160
0.710355 -0.283809 0.587530 14.034384
0.720360 -0.292680 0.585121 14.229576
0.730365 -0.301637 0.582808 14.424738
0.740370 -0.310675 0.580595 14.619873
0.750375 -0.319792 0.578483 14.814981
0.760380 -0.328982 0.576476 15.010065
0.770385 -0.338241 0.574574 15.205125
0.780390 -0.347567 0.572780 15.400165
0.790395 -0.356955 0.571097 15.595184
0.800400 -0.366400 0.569524 15.790185
0.810405 -0.375899 0.568065 15.985170
0.820410 -0.385447 0.566720 16.180139
0.830415 -0.395041 0.565491 16.375094
0.840420 -0.404676 0.564380 16.570036
0.850425 -0.414348 0.563387 16.764967
0.860430 -0.424053 0.562513 16.959889
0.870435 -0.433786 0.561760 17.154801
0.880440 -0.443544 0.561127 17.349707
0.890445 -0.453321 0.560617 17.544607
0.900450 -0.463114 0.560228 17.739502
0.910455 -0.472919 0.559962 17.934394
0.920460 -0.482731 0.559820 18.129283
0.930465 -0.492546 0.559800 18.324172
0.940470 -0.502359 0.559903 18.519061
0.950475 -0.512166 0.560129 18.713952
0.960480 -0.521964 0.560478 18.908846
0.970485 -0.531747 0.560949 19.103744
0.980490 -0.541511 0.561542 19.298648
0.990495 -0.551253 0.562256 19.493558
1.000500 -0.560967 0.563091 19.688476
1.010505 -0.570650 0.564046 19.883404
1.020510 -0.580298 0.565119 20.078343
1.030515 -0.589905 0.566310 20.273294
1.040520 -0.599469 0.567617 20.468258
1.050525 -0.608984 0.569040 20.663237
1.060530 -0.618447 0.570575 20.858233
1.070535 -0.627854 0.572223 21.053246
1.080540 -0.637200 0.573982 21.248279
1.090545 -0.646482 0.575849 21.443333
1.100550 -0.655695 0.577822 21.638409
1.110555 -0.664835 0.579900 21.833509
1.120560 -0.673899 0.582081 22.028635
1.130565 -0.682883 0.584362 22.223788
1.140570 -0.691782 0.586740 22.418970
1.150575 -0.700593 0.589214 22.614183
1.160580 -0.709313 0.591781 22.809429
1.170585 -0.717937 0.594438 23.004710
1.180590 -0.726462 0.597183 23.200026
1.190595 -0.734884 0.600012 23.395381
1.200600 -0.743199 0.602923 23.590776
1.210605 -0.751405 0.605913 23.786214
1.220610 -0.759498 0.608978 23.981695
1.230615 -0.767474 0.612116 24.177223
1.240620 -0.775331 0.615322 24.372799
1.250625 -0.783064 0.618595 24.568425
1.260630 -0.790671 0.621929 24.764104
1.270635 -0.798148 0.625323 24.959838
1.280640 -0.805494 0.628771 25.155629
1.290645 -0.812704 0.632272 25.351478
1.300650 -0.819776 0.635820 25.547389
1.310655 -0.826708 0.639412 25.743364
1.320660 -0.833496 0.643044 25.939403
1.330665 -0.840139 0.646712 26.135511
1.340670 -0.846633 0.650413 26.331689
1.350675 -0.852977 0.654142 26.527939
1.360680 -0.859168 0.657895 26.724263
1.370685 -0.865204 0.661668 26.920664
1.380690 -0.871083 0.665458 27.117143
1.390695 -0.876804 0.669259 27.313702
1.400700 -0.882365 0.673068 27.510345
1.410705 -0.887764 0.676879 27.707071
1.420710 -0.893000 0.680690 27.903884
1.430715 -0.898071 0.684496 28.100786
1.440720 -0.902977 0.688292 28.297777
1.450725 -0.907717 0.692074 28.494859
1.460730 -0.912290 0.695837 28.692035
1.470735 -0.916695 0.699578 28.889305
1.480740 -0.920933 0.703292 29.086671
1.490745 -0.925002 0.706974 29.284133
1.500750 -0.928904 0.710620 29.481694
1.510755 -0.932637 0.714226 29.679353
1.520760 -0.936204 0.717787 29.877112
1.530765 -0.939605 0.721299 30.074971
1.540770 -0.942839 0.724758 30.272931
1.550775 -0.945910 0.728160 30.470991
1.560780 -0.948818 0.731500 30.669152
1.570785 -0.951565 0.734774 30.867414
1.580790 -0.954152 0.737978 31.065776
1.590795 -0.956583 0.741107 31.264237
1.600800 -0.958860 0.744159 31.462797
1.610805 -0.960985 0.747128 31.661455
1.620810 -0.962961 0.750012 31.860210
1.630815 -0.964792 0.752806 32.059059
1.640820 -0.966482 0.755506 32.258002
1.650825 -0.968034 0.758109 32.457036
1.660830 -0.969452 0.760612 32.656159
1.670835 -0.970741 0.763010 32.855368
1.680840 -0.971906 0.765302 33.054661
1.690845 -0.972952 0.767483 33.254035
1.700850 -0.973883 0.769550 33.453487
1.710855 -0.974706 0.771502 33.653013
1.720860 -0.975426 0.773334 33.852609
1.730865 -0.976049 0.775045 34.052273
1.740870 -0.976582 0.776632 34.251998
1.750875 -0.977031 0.778093 34.451782
1.760880 -0.977402 0.779426 34.651620
1.770885 -0.977703 0.780628 34.851508
1.780890 -0.977941 0.781698 35.051439
1.790895 -0.978122 0.782635 35.251410
1.800900 -0.978255 0.783437 35.451415
1.810905 -0.978346 0.784103 35.651450
1.820910 -0.978404 0.784632 35.851508
1.830915 -0.978435 0.785024 36.051584
1.840920 -0.978449 0.785277 36.251673
1.850925 -0.978452 0.785391 36.451770
1.860930 -0.978452 0.785366 36.651868
1.870935 -0.978458 0.785203 36.851963
1.880940 -0.978477 0.784901 37.052048
1.890945 -0.978517 0.784461 37.252118
1.900950 -0.978585 0.783884 37.452169
1.910955 -0.978690 0.783170 37.652193
1.920960 -0.978839 0.782320 37.852187
1.930965 -0.979040 0.781336 38.052145
1.940970 -0.979299 0.780219 38.252061
1.950975 -0.979624 0.778970 38.451931
1.960980 -0.980022 0.777592 38.651751
1.970985 -0.980499 0.776087 38.851515
1.980990 -0.981064 0.774456 39.051219
1.990995 -0.981720 0.772701 39.250859
2.001001 -0.982476 0.770827 39.450431
2.011006 -0.983337 0.768834 39.649931
2.021011 -0.984308 0.766726 39.849356
2.031016 -0.985395 0.764505 40.048702
2.041021 -0.986603 0.762176 40.247966
2.051026 -0.987937 0.759740 40.447145
2.061031 -0.989402 0.757202 40.646237
2.071036 -0.991002 0.754564 40.845239
2.081041 -0.992741 0.751830 41.044149
2.091046 -0.994623 0.749004 41.242965
2.101051 -0.996652 0.746090 41.441685
2.111056 -0.998830 0.743091 41.640309
2.121061 -1.001160 0.740012 41.838834
2.131066 -1.003646 0.736855 42.037261
2.141071 -1.006290 0.733626 42.235587
2.151076 -1.009093 0.730329 42.433814
2.161081 -1.012059 0.726966 42.631939
2.171086 -1.015187 0.723544 42.829964
2.181091 -1.018480 0.720066 43.027888
2.191096 -1.021939 0.716536 43.225712
2.201101 -1.025565 0.712958 43.423435
2.211106 -1.029358 0.709337 43.621060
2.221111 -1.033318 0.705678 43.818586
2.231116 -1.037447 0.701984 44.016014
2.241121 -1.041744 0.698261 44.213346
2.251126 -1.046208 0.694511 44.410582
2.261131 -1.050840 0.690741 44.607725
2.271136 -1.055639 0.686954 44.804775
2.281141 -1.060603 0.683154 45.001734
2.291146 -1.065733 0.679346 45.198604
2.301151 -1.071026 0.675534 45.395386
2.311156 -1.076483 0.671723 45.592083
2.321161 -1.082100 0.667916 45.788696
2.331166 -1.087877 0.664119 45.985227
2.341171 -1.093812 0.660335 46.181678
2.351176 -1.099903 0.656568 46.378051
2.361181 -1.106148 0.652823 46.574349
2.371186 -1.112545 0.649103 46.770573
2.381191 -1.119092 0.645414 46.966726
