t psi theta phi
0.000000 0.000000 1.483530 0.000000
0.010005 -0.000001 1.483521 0.140139
0.020010 -0.000007 1.483496 0.280273
0.030015 -0.000025 1.483453 0.420396
0.040020 -0.000059 1.483393 0.560502
0.050025 -0.000114 1.483316 0.700587
0.060030 -0.000197 1.483222 0.840644
0.070035 -0.000313 1.483112 0.980669
0.080040 -0.000466 1.482984 1.120657
0.090045 -0.000663 1.482839 1.260601
0.100050 -0.000907 1.482678 1.400498
0.110055 -0.001204 1.482500 1.540343
0.120060 -0.001559 1.482306 1.680129
0.130065 -0.001977 1.482095 1.819854
0.140070 -0.002461 1.481868 1.959512
0.150075 -0.003017 1.481625 2.099098
0.160080 -0.003649 1.481366 2.238609
0.170085 -0.004360 1.481091 2.378041
0.180090 -0.005156 1.480800 2.517390
0.190095 -0.006039 1.480493 2.656651
0.200100 -0.007013 1.480171 2.795821
0.210105 -0.008082 1.479834 2.934898
0.220110 -0.009248 1.479482 3.073876
0.230115 -0.010516 1.479114 3.212755
0.240120 -0.011888 1.478732 3.351529
0.250125 -0.013366 1.478336 3.490198
0.260130 -0.014954 1.477925 3.628758
0.270135 -0.016653 1.477500 3.767207
0.280140 -0.018466 1.477060 3.905543
0.290145 -0.020395 1.476608 4.043764
0.300150 -0.022441 1.476141 4.181868
0.310155 -0.024607 1.475661 4.319853
0.320160 -0.026894 1.475168 4.457717
0.330165 -0.029303 1.474662 4.595461
0.340170 -0.031835 1.474143 4.733081
0.350175 -0.034492 1.473611 4.870578
0.360180 -0.037274 1.473067 5.007951
0.370185 -0.040182 1.472511 5.145198
0.380190 -0.043217 1.471943 5.282319
0.390195 -0.046379 1.471363 5.419314
0.400200 -0.049668 1.470772 5.556183
0.410205 -0.053085 1.470169 5.692924
0.420210 -0.056630 1.469556 5.829539
0.430215 -0.060303 1.468931 5.966027
0.440220 -0.064103 1.468295 6.102388
0.450225 -0.068030 1.467649 6.238623
0.460230 -0.072085 1.466993 6.374731
0.470235 -0.076266 1.466326 6.510714
0.480240 -0.080574 1.465650 6.646572
0.490245 -0.085007 1.464964 6.782306
0.500250 -0.089564 1.464268 6.917915
0.510255 -0.094246 1.463563 7.053402
0.520260 -0.099051 1.462849 7.188766
0.530265 -0.103979 1.462125 7.324009
0.540270 -0.109028 1.461393 7.459132
0.550275 -0.114198 1.460652 7.594135
0.560280 -0.119487 1.459903 7.729020
0.570285 -0.124894 1.459146 7.863787
0.580290 -0.130419 1.458380 7.998439
0.590295 -0.136060 1.457606 8.132975
0.600300 -0.141817 1.456825 8.267398
0.610305 -0.147686 1.456036 8.401709
0.620310 -0.153669 1.455239 8.535908
0.630315 -0.159762 1.454436 8.669997
0.640320 -0.165966 1.453625 8.803977
0.650325 -0.172278 1.452807 8.937850
0.660330 -0.178698 1.451982 9.071618
0.670335 -0.185223 1.451150 9.205280
