t psi theta phi
0.000000 0.000000 1.483530 0.000000
0.010005 -0.000001 1.483521 0.112111
0.020010 -0.000006 1.483496 0.224218
0.030015 -0.000020 1.483453 0.336317
0.040020 -0.000047 1.483393 0.448402
0.050025 -0.000092 1.483316 0.560469
0.060030 -0.000158 1.483222 0.672515
0.070035 -0.000250 1.483111 0.784535
0.080040 -0.000373 1.482983 0.896525
0.090045 -0.000531 1.482838 1.008480
0.100050 -0.000726 1.482676 1.120398
0.110055 -0.000965 1.482497 1.232272
0.120060 -0.001250 1.482302 1.344101
0.130065 -0.001585 1.482090 1.455879
0.140070 -0.001974 1.481861 1.567604
0.150075 -0.002421 1.481615 1.679271
0.160080 -0.002929 1.481353 1.790877
0.170085 -0.003502 1.481074 1.902419
0.180090 -0.004142 1.480779 2.013894
0.190095 -0.004854 1.480468 2.125297
0.200100 -0.005640 1.480140 2.236627
0.210105 -0.006503 1.479796 2.347880
0.220110 -0.007446 1.479436 2.459054
0.230115 -0.008471 1.479060 2.570145
0.240120 -0.009581 1.478669 2.681152
0.250125 -0.010779 1.478261 2.792072
0.260130 -0.012067 1.477838 2.902903
0.270135 -0.013446 1.477399 3.013642
0.280140 -0.014919 1.476944 3.124289
0.290145 -0.016488 1.476474 3.234840
0.300150 -0.018154 1.475989 3.345294
0.310155 -0.019919 1.475489 3.455649
0.320160 -0.021784 1.474973 3.565905
0.330165 -0.023751 1.474443 3.676060
0.340170 -0.025821 1.473897 3.786113
0.350175 -0.027995 1.473337 3.896062
0.360180 -0.030274 1.472761 4.005907
0.370185 -0.032659 1.472172 4.115646
0.380190 -0.035151 1.471567 4.225280
0.390195 -0.037749 1.470949 4.334808
0.400200 -0.040455 1.470316 4.444228
0.410205 -0.043269 1.469668 4.553541
0.420210 -0.046192 1.469007 4.662747
0.430215 -0.049223 1.468331 4.771845
0.440220 -0.052363 1.467642 4.880835
0.450225 -0.055611 1.466938 4.989717
0.460230 -0.058968 1.466221 5.098492
0.470235 -0.062434 1.465490 5.207158
0.480240 -0.066007 1.464746 5.315718
0.490245 -0.069689 1.463987 5.424170
0.500250 -0.073478 1.463216 5.532516
0.510255 -0.077375 1.462431 5.640756
0.520260 -0.081378 1.461632 5.748889
0.530265 -0.085487 1.460821 5.856918
0.540270 -0.089702 1.459996 5.964843
0.550275 -0.094021 1.459158 6.072663
0.560280 -0.098445 1.458307 6.180381
0.570285 -0.102972 1.457443 6.287996
0.580290 -0.107601 1.456565 6.395510
0.590295 -0.112332 1.455675 6.502923
0.600300 -0.117164 1.454773 6.610237
0.610305 -0.122096 1.453857 6.717452
0.620310 -0.127127 1.452929 6.824569
0.630315 -0.132256 1.451988 6.931589
0.640320 -0.137482 1.451034 7.038514
0.650325 -0.142805 1.450067 7.145343
0.660330 -0.148222 1.449088 7.252079
0.670335 -0.153733 1.448097 7.358723
0.680340 -0.159336 1.447093 7.465275
0.690345 -0.165032 1.446076 7.571737
0.700350 -0.170818 1.445047 7.678109
0.710355 -0.176694 1.444005 7.784394
0.720360 -0.182659 1.442951 7.890591
0.730365 -0.188711 1.441885 7.996702
0.740370 -0.194848 1.440806 8.102729
0.750375 -0.201072 1.439715 8.208673
0.760380 -0.207379 1.438611 8.314534
0.770385 -0.213768 1.437495 8.420313
0.780390 -0.220240 1.436367 8.526013
0.790395 -0.226792 1.435226 8.631634
0.800400 -0.233424 1.434073 8.737178
0.810405 -0.240133 1.432907 8.842644
0.820410 -0.246920 1.431729 8.948036
