t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.002000 -0.000000 1.047196 0.200020
0.004000 -0.000000 1.047190 0.400040
0.006001 -0.000001 1.047180 0.600059
0.008001 -0.000003 1.047166 0.800077
0.010001 -0.000007 1.047149 1.000094
0.012001 -0.000011 1.047127 1.200110
0.014001 -0.000018 1.047102 1.400124
0.016002 -0.000027 1.047073 1.600136
0.018002 -0.000038 1.047040 1.800147
0.020002 -0.000052 1.047004 2.000154
0.022002 -0.000069 1.046964 2.200160
0.024002 -0.000089 1.046920 2.400162
0.026003 -0.000113 1.046873 2.600161
0.028003 -0.000141 1.046823 2.800157
0.030003 -0.000173 1.046769 3.000149
0.032003 -0.000210 1.046712 3.200137
0.034003 -0.000251 1.046652 3.400122
0.036004 -0.000297 1.046589 3.600102
0.038004 -0.000348 1.046522 3.800077
0.040004 -0.000405 1.046453 4.000048
0.042004 -0.000467 1.046382 4.200014
0.044004 -0.000535 1.046307 4.399975
0.046005 -0.000610 1.046230 4.599931
0.048005 -0.000690 1.046151 4.799881
0.050005 -0.000777 1.046069 4.999826
0.052005 -0.000870 1.045986 5.199766
0.054005 -0.000970 1.045900 5.399699
0.056006 -0.001077 1.045812 5.599626
0.058006 -0.001191 1.045723 5.799548
0.060006 -0.001312 1.045632 5.999463
0.062006 -0.001440 1.045540 6.199372
0.064006 -0.001576 1.045446 6.399274
0.066007 -0.001719 1.045352 6.599170
0.068007 -0.001870 1.045256 6.799060
0.070007 -0.002028 1.045159 6.998943
0.072007 -0.002195 1.045062 7.198819
0.074007 -0.002368 1.044964 7.398689
0.076008 -0.002550 1.044866 7.598552
0.078008 -0.002739 1.044768 7.798408
0.080008 -0.002936 1.044669 7.998258
0.082008 -0.003141 1.044571 8.198101
0.084008 -0.003354 1.044472 8.397937
0.086009 -0.003574 1.044375 8.597766
0.088009 -0.003802 1.044277 8.797589
0.090009 -0.004038 1.044181 8.997405
0.092009 -0.004281 1.044085 9.197215
0.094009 -0.004532 1.043990 9.397018
0.096010 -0.004790 1.043897 9.596815
