t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.005003 -0.005003 1.047195 0.055698
0.010005 -0.010005 1.047187 0.111395
0.015008 -0.015008 1.047173 0.167093
0.020010 -0.020010 1.047155 0.222791
0.025013 -0.025013 1.047131 0.278488
0.030015 -0.030016 1.047101 0.334186
0.035018 -0.035020 1.047066 0.389883
0.040020 -0.040023 1.047026 0.445580
0.045023 -0.045027 1.046981 0.501277
0.050025 -0.050031 1.046930 0.556974
0.055028 -0.055035 1.046874 0.612671
0.060030 -0.060040 1.046812 0.668368
0.065033 -0.065046 1.046745 0.724064
0.070035 -0.070051 1.046673 0.779760
0.075038 -0.075058 1.046595 0.835456
0.080040 -0.080064 1.046512 0.891151
0.085043 -0.085072 1.046424 0.946847
0.090045 -0.090080 1.046330 1.002542
0.095048 -0.095088 1.046231 1.058237
0.100050 -0.100098 1.046127 1.113931
0.105053 -0.105108 1.046017 1.169625
0.110055 -0.110118 1.045902 1.225319
0.115058 -0.115130 1.045781 1.281012
0.120060 -0.120142 1.045656 1.336705
0.125063 -0.125156 1.045525 1.392397
0.130065 -0.130170 1.045388 1.448089
0.135068 -0.135185 1.045246 1.503781
0.140070 -0.140201 1.045099 1.559472
0.145073 -0.145218 1.044947 1.615163
0.150075 -0.150236 1.044789 1.670853
0.155078 -0.155255 1.044626 1.726542
0.160080 -0.160275 1.044457 1.782232
0.165083 -0.165296 1.044284 1.837920
0.170085 -0.170319 1.044104 1.893608
0.175088 -0.175342 1.043920 1.949296
0.180090 -0.180367 1.043730 2.004982
0.185093 -0.185393 1.043535 2.060669
0.190095 -0.190421 1.043335 2.116354
0.195098 -0.195450 1.043129 2.172039
0.200100 -0.200480 1.042918 2.227723
0.205103 -0.205511 1.042701 2.283407
0.210105 -0.210544 1.042480 2.339090
0.215108 -0.215579 1.042252 2.394772
0.220110 -0.220615 1.042020 2.450454
0.225113 -0.225652 1.041782 2.506134
0.230115 -0.230692 1.041539 2.561814
0.235118 -0.235732 1.041291 2.617494
0.240120 -0.240775 1.041038 2.673172
0.245123 -0.245819 1.040779 2.728850
0.250125 -0.250865 1.040514 2.784527
0.255128 -0.255912 1.040245 2.840203
0.260130 -0.260961 1.039970 2.895878
0.265133 -0.266012 1.039690 2.951552
0.270135 -0.271065 1.039405 3.007226
0.275138 -0.276120 1.039114 3.062898
0.280140 -0.281177 1.038818 3.118570
0.285143 -0.286235 1.038517 3.174241
0.290145 -0.291296 1.038210 3.229911
0.295148 -0.296359 1.037898 3.285580
0.300150 -0.301423 1.037581 3.341248
0.305153 -0.306490 1.037259 3.396915
0.310155 -0.311559 1.036931 3.452581
0.315158 -0.316630 1.036598 3.508246
0.320160 -0.321703 1.036260 3.563911
0.325163 -0.326778 1.035916 3.619574
